49    4.96E-05    4.96E-05    4.96E-05    4.96E-05    4.96E-05    4.96E-05    4.96E-05    4.96E-05
50    5.08E-05    5.08E-05    5.08E-05    5.08E-05    5.08E-05    5.08E-05    5.08E-05    5.08E-05
51    5.21E-05    5.21E-05    5.21E-05    5.21E-05    5.21E-05    5.21E-05    5.21E-05    5.21E-05
52    5.33E-05    5.33E-05    5.33E-05    5.33E-05    5.33E-05    5.33E-05    5.33E-05    5.33E-05
53    5.46E-05    5.46E-05    5.46E-05    5.46E-05    5.46E-05    5.46E-05    5.46E-05    5.46E-05
54    5.59E-05    5.59E-05    5.59E-05    5.59E-05    5.59E-05    5.59E-05    5.59E-05    5.59E-05
55    5.73E-05    5.73E-05    5.73E-05    5.73E-05    5.73E-05    5.73E-05    5.73E-05    5.73E-05
56    5.87E-05    5.87E-05    5.87E-05    5.87E-05    5.87E-05    5.87E-05    5.87E-05    5.87E-05
57    6.01E-05    6.01E-05    6.01E-05    6.01E-05    6.01E-05    6.01E-05    6.01E-05    6.01E-05
58    6.16E-05    6.16E-05    6.16E-05    6.16E-05    6.16E-05    6.16E-05    6.16E-05    6.16E-05
59    6.31E-05    6.31E-05    6.31E-05    6.31E-05    6.31E-05    6.31E-05    6.31E-05    6.31E-05
60    6.46E-05    6.46E-05    6.46E-05    6.46E-05    6.46E-05    6.46E-05    6.46E-05    6.46E-05
61    6.62E-05    6.62E-05    6.62E-05    6.62E-05    6.62E-05    6.62E-05    6.62E-05    6.62E-05
62    6.78E-05    6.78E-05    6.78E-05    6.78E-05    6.78E-05    6.78E-05    6.78E-05    6.78E-05
63    6.94E-05    6.94E-05    6.94E-05    6.94E-05    6.94E-05    6.94E-05    6.94E-05    6.94E-05
64    7.11E-05    7.11E-05    7.11E-05    7.11E-05    7.11E-05    7.11E-05    7.11E-05    7.11E-05
65    7.28E-05    7.28E-05    7.28E-05    7.28E-05    7.28E-05    7.28E-05    7.28E-05    7.28E-05
66    7.46E-05    7.46E-05    7.46E-05    7.46E-05    7.46E-05    7.46E-05    7.46E-05    7.46E-05
67    7.64E-05    7.64E-05    7.64E-05    7.64E-05    7.64E-05    7.64E-05    7.64E-05    7.64E-05
68    7.83E-05    7.83E-05    7.83E-05    7.83E-05    7.83E-05    7.83E-05    7.83E-05    7.83E-05
69    8.02E-05    8.02E-05    8.02E-05    8.02E-05    8.02E-05    8.02E-05    8.02E-05    8.02E-05
70    8.21E-05    8.21E-05    8.21E-05    8.21E-05    8.21E-05    8.21E-05    8.21E-05    8.21E-05
71    8.41E-05    8.41E-05    8.41E-05    8.41E-05    8.41E-05    8.41E-05    8.41E-05    8.41E-05
72    8.62E-05    8.62E-05    8.62E-05    8.62E-05    8.62E-05    8.62E-05    8.62E-05    8.62E-05
73    8.83E-05    8.83E-05    8.83E-05    8.83E-05    8.83E-05    8.83E-05    8.83E-05    8.83E-05
74    9.04E-05    9.04E-05    9.04E-05    9.04E-05    9.04E-05    9.04E-05    9.04E-05    9.04E-05
75    9.26E-05    9.26E-05    9.26E-05    9.26E-05    9.26E-05    9.26E-05    9.26E-05    9.26E-05
76    9.49E-05    9.49E-05    9.49E-05    9.49E-05    9.49E-05    9.49E-05    9.49E-05    9.49E-05
77    9.72E-05    9.72E-05    9.72E-05    9.72E-05    9.72E-05    9.72E-05    9.72E-05    9.72E-05
78    9.95E-05    9.95E-05    9.95E-05    9.95E-05    9.95E-05    9.95E-05    9.95E-05    9.95E-05
79    1.02E-04    1.02E-04    1.02E-04    1.02E-04    1.02E-04    1.02E-04    1.02E-04    1.02E-04
80    1.04E-04    1.04E-04    1.04E-04    1.04E-04    1.04E-04    1.04E-04    1.04E-04    1.04E-04
81    1.07E-04    1.07E-04    1.07E-04    1.07E-04    1.07E-04    1.07E-04    1.07E-04    1.07E-04
82    1.10E-04    1.10E-04    1.10E-04    1.10E-04    1.10E-04    1.10E-04    1.10E-04    1.10E-04
83    1.12E-04    1.12E-04    1.12E-04    1.12E-04    1.12E-04    1.12E-04    1.12E-04    1.12E-04
84    1.15E-04    1.15E-04    1.15E-04    1.15E-04    1.15E-04    1.15E-04    1.15E-04    1.15E-04
85    1.18E-04    1.18E-04    1.18E-04    1.18E-04    1.18E-04    1.18E-04    1.18E-04    1.18E-04
86    1.21E-04    1.21E-04    1.21E-04    1.21E-04    1.21E-04    1.21E-04    1.21E-04    1.21E-04
87    1.24E-04    1.24E-04    1.24E-04    1.24E-04    1.24E-04    1.24E-04    1.24E-04    1.24E-04
88    1.27E-04    1.27E-04    1.27E-04    1.27E-04    1.27E-04    1.27E-04    1.27E-04    1.27E-04
89    1.30E-04    1.30E-04    1.30E-04    1.30E-04    1.30E-04    1.30E-04    1.30E-04    1.30E-04
90    1.33E-04    1.33E-04    1.33E-04    1.33E-04    1.33E-04    1.33E-04    1.33E-04    1.33E-04
91    1.36E-04    1.36E-04    1.36E-04    1.36E-04    1.36E-04    1.36E-04    1.36E-04    1.36E-04
92    1.39E-04    1.39E-04    1.39E-04    1.39E-04    1.39E-04    1.39E-04    1.39E-04    1.39E-04
93    1.43E-04    1.43E-04    1.43E-04    1.43E-04    1.43E-04    1.43E-04    1.43E-04    1.43E-04
94    1.46E-04    1.46E-04    1.46E-04    1.46E-04    1.46E-04    1.46E-04    1.46E-04    1.46E-04
95    1.50E-04    1.50E-04    1.50E-04    1.50E-04    1.50E-04    1.50E-04    1.50E-04    1.50E-04
96    1.53E-04    1.53E-04    1.53E-04    1.53E-04    1.53E-04    1.53E-04    1.53E-04    1.53E-04
97    1.57E-04    1.57E-04    1.57E-04    1.57E-04    1.57E-04    1.57E-04    1.57E-04    1.57E-04
98    1.61E-04    1.61E-04    1.61E-04    1.61E-04    1.61E-04    1.61E-04    1.61E-04    1.61E-04
99    1.65E-04    1.65E-04    1.65E-04    1.65E-04    1.65E-04    1.65E-04    1.65E-04    1.65E-04
100    1.69E-04    1.69E-04    1.69E-04    1.69E-04    1.69E-04    1.69E-04    1.69E-04    1.69E-04
101    1.73E-04    1.73E-04    1.73E-04    1.73E-04    1.73E-04    1.73E-04    1.73E-04    1.73E-04
